,Home,HG,Away,AG
2816,0,0,17,0
2817,1,0,21,1
2818,2,3,22,2
2819,3,1,18,1
2820,4,1,20,1
2821,5,1,13,0
2822,6,2,15,0
2823,7,1,16,0
2824,8,0,23,1
2825,9,0,12,0
2826,10,1,19,0
2827,11,1,14,2
2828,12,2,1,0
2829,13,0,4,0
2830,14,1,7,0
2831,15,1,11,0
2832,16,2,0,2
2833,17,2,8,1
2834,18,0,2,1
2835,19,1,5,0
2836,20,3,3,0
2837,21,0,9,2
2838,22,0,10,2
2839,4,3,19,2
2840,7,1,15,1
2841,6,2,17,0
2842,2,2,14,2
2843,0,1,20,6
2844,21,2,12,1
2845,8,0,10,3
2846,3,3,16,1
2847,9,2,13,0
2848,11,1,22,0
2849,1,2,18,1
2850,5,3,23,0
2851,10,0,2,2
2852,18,0,8,1
2853,16,3,6,1
2854,14,1,21,1
2855,23,2,1,0
2856,22,2,5,1
2857,17,1,3,2
2858,15,0,0,0
2859,20,0,7,1
2860,19,0,9,1
2861,13,3,11,0
2862,12,0,4,0
2863,3,1,15,0
2864,8,0,19,0
2865,5,0,16,1
2866,4,1,18,0
2867,2,2,17,1
2868,21,1,23,0
2869,0,3,22,1
2870,11,1,10,0
2871,1,1,14,1
2872,6,4,12,1
2873,7,2,13,1
2874,20,0,9,0
2875,10,4,17,1
2876,15,1,8,2
2877,22,0,4,1
2878,1,2,2,1
2879,12,0,20,4
2880,18,1,0,2
2881,19,0,7,1
2882,14,1,6,1
2883,23,2,3,2
2884,9,1,5,0
2885,13,1,21,1
2886,16,1,11,0
2887,17,0,14,0
2888,4,3,15,1
2889,5,1,21,0
2890,8,0,12,1
2891,2,0,9,2
2892,11,0,23,1
2893,6,2,13,0
2894,22,0,19,2
2895,3,3,1,2
2896,0,2,10,1
2897,20,1,16,2
2898,7,2,18,1
2899,13,1,17,2
2900,21,1,3,1
2901,10,3,5,0
2902,18,0,20,2
2903,9,1,6,1
2904,19,0,2,1
2905,12,0,11,0
2906,16,0,8,1
2907,14,1,0,1
2908,23,3,7,2
2909,15,1,22,0
2910,1,1,4,0
2911,6,0,19,0
2912,11,2,7,1
2913,4,2,10,1
2914,22,2,18,4
2915,2,1,15,4
2916,5,0,12,0
2917,0,2,13,0
2918,16,2,23,0
2919,3,1,14,1
2920,17,1,1,0
2921,20,2,21,0
2922,8,0,9,1
2923,10,3,20,3
2924,9,0,0,1
2925,19,1,11,2
2926,23,0,4,1
2927,21,1,6,3
2928,7,2,3,4
2929,13,1,8,0
2930,18,0,17,1
2931,12,2,2,0
2932,14,0,16,1
2933,15,0,5,1
2934,1,2,22,1
2935,22,3,13,2
2936,5,3,14,0
2937,11,2,21,0
2938,6,0,18,4
2939,20,2,1,1
2940,4,1,7,0
2941,2,1,8,3
2942,17,2,23,2
2943,0,0,19,0
2944,10,2,15,2
2945,16,0,12,0
2946,3,2,9,1
2947,1,0,11,2
2948,18,0,5,1
2949,14,5,22,2
2950,13,1,20,2
2951,9,5,10,1
2952,19,3,17,3
2953,7,1,6,0
2954,21,1,0,1
2955,23,2,2,1
2956,8,0,4,0
2957,15,0,16,0
2958,12,0,3,1
2959,5,1,7,0
2960,17,0,11,1
2961,3,0,19,1
2962,2,3,4,0
2963,22,1,23,2
2964,15,3,21,2
2965,20,0,14,1
2966,13,0,18,3
2967,6,2,8,0
2968,0,1,12,0
2969,16,0,9,0
2970,8,2,3,0
2971,12,1,15,1
2972,11,2,2,2
2973,9,2,17,0
2974,19,1,16,0
2975,18,0,10,1
2976,7,3,0,3
2977,1,3,5,2
2978,21,0,22,2
2979,4,1,6,0
2980,14,5,13,1
2981,19,1,18,1
2982,0,1,8,1
2983,5,1,11,1
2984,9,1,4,1
2985,6,2,20,3
2986,2,2,21,0
2987,22,0,7,5
2988,16,3,1,1
2989,13,0,23,0
2990,15,1,14,1
2991,10,1,3,1
2992,17,1,12,0
2993,1,0,13,2
2994,23,0,19,1
2995,12,0,10,2
2996,11,2,6,2
2997,7,0,17,0
2998,3,1,0,0
2999,8,2,22,0
3000,18,2,15,1
3001,14,1,9,0
3002,20,0,2,1
3003,21,0,16,1
3004,4,1,5,1
3005,10,2,1,1
3006,23,2,6,3
