,Home,HG,Away,AG
2816,Racing Club,0,Union de Santa Fe,0
2817,Colon Santa FE,0,Patronato,1
2818,San Lorenzo,3,Godoy Cruz,2
2819,Lanus,1,Gimnasia L.P.,1
2820,Argentinos Jrs,1,River Plate,1
2821,Estudiantes L.P.,1,Aldosivi,0
2822,Newells Old Boys,2,Central Cordoba,0
2823,Talleres Cordoba,1,Velez Sarsfield,0
2824,Defensa y Justicia,0,Independiente,1
2825,Boca Juniors,0,Huracan,0
2826,Arsenal Sarandi,1,Banfield,0
2827,Atl. Tucuman,1,Rosario Central,2
2828,Huracan,2,Colon Santa FE,0
2829,Aldosivi,0,Argentinos Jrs,0
2830,Rosario Central,1,Talleres Cordoba,0
2831,Central Cordoba,1,Atl. Tucuman,0
2832,Velez Sarsfield,2,Racing Club,2
2833,Union de Santa Fe,2,Defensa y Justicia,1
2834,Gimnasia L.P.,0,San Lorenzo,1
2835,Banfield,1,Estudiantes L.P.,0
2836,River Plate,3,Lanus,0
2837,Patronato,0,Boca Juniors,2
2838,Godoy Cruz,0,Arsenal Sarandi,2
2839,Argentinos Jrs,3,Banfield,2
2840,Talleres Cordoba,1,Central Cordoba,1
2841,Newells Old Boys,2,Union de Santa Fe,0
2842,San Lorenzo,2,Rosario Central,2
2843,Racing Club,1,River Plate,6
2844,Patronato,2,Huracan,1
2845,Defensa y Justicia,0,Arsenal Sarandi,3
2846,Lanus,3,Velez Sarsfield,1
2847,Boca Juniors,2,Aldosivi,0
2848,Atl. Tucuman,1,Godoy Cruz,0
2849,Colon Santa FE,2,Gimnasia L.P.,1
2850,Estudiantes L.P.,3,Independiente,0
2851,Arsenal Sarandi,0,San Lorenzo,2
2852,Gimnasia L.P.,0,Defensa y Justicia,1
2853,Velez Sarsfield,3,Newells Old Boys,1
2854,Rosario Central,1,Patronato,1
2855,Independiente,2,Colon Santa FE,0
2856,Godoy Cruz,2,Estudiantes L.P.,1
2857,Union de Santa Fe,1,Lanus,2
