,Fecha,EquipoI,PuntosI,EquipoJ,PuntosJ
0,7/26/2019,0,0,17,0
1,7/27/2019,1,0,21,1
2,7/27/2019,2,3,22,2
3,7/27/2019,3,1,18,1
4,7/27/2019,4,1,20,1
5,7/28/2019,5,1,13,0
6,7/28/2019,6,2,15,0
7,7/28/2019,7,1,16,0
8,7/28/2019,8,0,23,1
9,7/28/2019,9,0,12,0
10,7/29/2019,10,1,19,0
11,7/29/2019,11,1,14,2
12,8/2/2019,12,2,1,0
13,8/3/2019,13,0,4,0
14,8/3/2019,14,1,7,0
15,8/3/2019,15,1,11,0
16,8/3/2019,16,2,0,2
17,8/4/2019,17,2,8,1
18,8/4/2019,18,0,2,1
19,8/4/2019,19,1,5,0
20,8/4/2019,20,3,3,0
21,8/4/2019,21,0,9,2
22,8/5/2019,22,0,10,2
23,8/16/2019,4,3,19,2
24,8/16/2019,7,1,15,1
25,8/17/2019,6,2,17,0
26,8/17/2019,2,2,14,2
27,8/17/2019,0,1,20,6
28,8/18/2019,21,2,12,1
29,8/18/2019,8,0,10,3
30,8/18/2019,3,3,16,1
31,8/18/2019,9,2,13,0
32,8/19/2019,11,1,22,0
33,8/19/2019,1,2,18,1
34,8/19/2019,5,3,23,0
35,8/23/2019,10,0,2,2
36,8/24/2019,18,0,8,1
37,8/24/2019,16,3,6,1
38,8/24/2019,14,1,21,1
39,8/24/2019,23,2,1,0
40,8/25/2019,22,2,5,1
41,8/25/2019,17,1,3,2
42,8/25/2019,15,0,0,0
43,8/25/2019,20,0,7,1
44,8/25/2019,19,0,9,1
45,8/26/2019,13,3,11,0
46,8/26/2019,12,0,4,0
47,8/30/2019,3,1,15,0
48,8/30/2019,5,0,16,1
49,8/30/2019,8,0,19,0
50,8/31/2019,4,1,18,0
51,8/31/2019,2,2,17,1
52,8/31/2019,21,1,23,0
53,8/31/2019,0,3,22,1
54,9/1/2019,11,1,10,0
55,9/1/2019,1,1,14,1
56,9/1/2019,7,2,13,1
57,9/1/2019,6,4,12,1
58,9/1/2019,20,0,9,0
59,9/14/2019,10,4,17,1
60,9/14/2019,22,0,4,1
61,9/14/2019,15,1,8,2
62,9/14/2019,1,2,2,1
